q-num, recip_rank
1,1.0000
100,0.0000
11,0.0833
12,0.5000
13,0.1250
14,0.0000
15,0.2000
16,0.5000
17,0.2500
2,1.0000
20,0.3333
21,1.0000
22,0.1111
23,1.0000
24,1.0000
25,1.0000
26,0.0000
27,1.0000
28,1.0000
29,1.0000
3,1.0000
30,1.0000
31,1.0000
32,1.0000
35,1.0000
36,1.0000
38,1.0000
39,0.3333
4,1.0000
40,1.0000
41,1.0000
42,0.0000
43,1.0000
44,0.2500
45,1.0000
46,1.0000
47,0.0000
48,0.2000
49,1.0000
5,0.0000
50,0.5000
51,1.0000
52,1.0000
53,0.3333
54,0.5000
55,1.0000
57,0.5000
58,1.0000
59,1.0000
60,1.0000
61,1.0000
63,1.0000
67,1.0000
69,1.0000
7,0.3333
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,0.1250
77,0.5000
78,1.0000
79,1.0000
8,0.2500
80,0.1111
82,1.0000
83,1.0000
85,1.0000
86,0.5000
87,1.0000
88,1.0000
89,1.0000
9,1.0000
90,1.0000
91,1.0000
92,1.0000
94,1.0000
96,1.0000
97,1.0000
98,0.1667
99,1.0000
