q-num, P_1, P_5, map
1,1.0000,1.0000,0.3125
100,1.0000,0.2000,0.3333
11,0.0000,0.0000,0.0000
12,0.0000,0.2000,0.0222
13,0.0000,0.2000,0.1667
14,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000
17,0.0000,0.2000,0.0625
18,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000
2,1.0000,0.6000,0.3333
20,0.0000,0.6000,0.4792
21,1.0000,0.6000,0.3056
22,0.0000,0.0000,0.0000
23,1.0000,0.2000,0.0769
24,1.0000,0.2000,0.5000
25,1.0000,0.6000,0.2000
26,0.0000,0.0000,0.0000
27,1.0000,0.6000,0.6000
28,1.0000,0.6000,0.4583
29,1.0000,0.6000,0.7500
3,1.0000,0.8000,0.2298
30,0.0000,0.0000,0.0000
31,1.0000,0.4000,0.6667
32,1.0000,1.0000,0.2632
35,1.0000,1.0000,0.2000
36,1.0000,0.8000,0.2000
37,0.0000,0.0000,0.0000
38,1.0000,0.8000,0.4437
39,1.0000,0.2000,0.5000
4,1.0000,1.0000,0.2381
40,0.0000,0.6000,0.1143
41,1.0000,1.0000,0.3333
42,1.0000,0.8000,0.3636
44,0.0000,0.0000,0.0000
45,1.0000,0.8000,0.1481
47,0.0000,0.0000,0.0000
50,0.0000,0.0000,0.0000
51,1.0000,0.6000,0.3000
52,1.0000,1.0000,0.4167
53,1.0000,0.4000,0.1400
54,1.0000,0.4000,0.2778
55,1.0000,0.2000,0.1667
57,0.0000,0.4000,0.0556
58,0.0000,0.2000,0.0250
59,1.0000,0.4000,0.1538
6,0.0000,0.0000,0.0000
60,1.0000,0.8000,0.3636
61,0.0000,0.2000,0.0833
62,1.0000,0.6000,0.2333
63,1.0000,0.8000,0.2298
65,0.0000,0.0000,0.0000
67,1.0000,0.2000,0.1667
69,1.0000,0.6000,0.2267
7,1.0000,0.4000,0.5000
71,1.0000,0.4000,0.2500
72,1.0000,1.0000,0.2632
73,1.0000,0.6000,0.3438
74,1.0000,0.8000,0.4000
75,0.0000,0.2000,0.0667
76,0.0000,0.4000,0.1296
77,1.0000,0.8000,0.2536
8,0.0000,0.0000,0.0000
82,0.0000,0.0000,0.0000
83,1.0000,0.8000,0.1775
84,1.0000,0.2000,0.1429
85,1.0000,0.8000,0.5071
86,1.0000,1.0000,0.6250
87,1.0000,1.0000,0.2381
88,1.0000,0.4000,0.2000
89,1.0000,0.4000,0.3333
9,1.0000,0.2000,0.0714
90,1.0000,0.6000,0.2500
91,1.0000,1.0000,0.2174
92,1.0000,0.2000,0.3333
94,1.0000,1.0000,0.2778
96,1.0000,1.0000,0.3125
97,1.0000,0.4000,0.6667
98,0.0000,0.0000,0.0000
99,1.0000,0.2000,0.5000
