q-num, P_1, P_5, map
1,1.0000,0.8000,0.2219
10,1.0000,0.4000,0.4167
100,1.0000,0.4000,0.4667
11,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000
13,0.0000,0.4000,0.3333
14,0.0000,0.0000,0.0000
15,0.0000,0.2000,0.1667
16,0.0000,0.6000,0.4417
17,1.0000,0.2000,0.2500
18,1.0000,0.2000,0.2000
19,0.0000,0.0000,0.0000
2,1.0000,0.6000,0.2685
20,0.0000,0.4000,0.2083
21,1.0000,0.6000,0.3056
22,0.0000,0.0000,0.0000
23,0.0000,0.4000,0.0897
24,0.0000,0.0000,0.0000
25,1.0000,0.8000,0.2923
26,1.0000,0.4000,0.8333
27,1.0000,0.8000,0.8000
28,1.0000,0.6000,0.5000
29,1.0000,0.4000,0.4167
3,1.0000,0.8000,0.2536
30,1.0000,0.2000,0.1250
31,1.0000,0.2000,0.3333
32,1.0000,1.0000,0.2632
33,1.0000,0.6000,0.6875
34,1.0000,0.8000,0.9500
35,1.0000,1.0000,0.2000
36,1.0000,0.8000,0.2000
37,1.0000,0.4000,0.4167
38,1.0000,0.8000,0.5000
39,0.0000,0.2000,0.2500
4,1.0000,1.0000,0.2381
40,1.0000,0.4000,0.1429
41,1.0000,1.0000,0.3333
42,1.0000,1.0000,0.4545
43,1.0000,0.6000,0.4583
44,0.0000,0.0000,0.0000
45,1.0000,0.6000,0.1111
46,1.0000,1.0000,0.4167
47,1.0000,0.4000,1.0000
48,1.0000,0.2000,0.2500
49,1.0000,0.8000,0.3944
5,0.0000,0.2000,0.0333
50,0.0000,0.2000,0.0667
51,1.0000,0.8000,0.3800
52,1.0000,0.8000,0.3333
53,1.0000,0.8000,0.4000
54,1.0000,0.2000,0.1667
55,1.0000,0.8000,0.6333
56,1.0000,0.6000,0.5500
57,0.0000,0.4000,0.0778
58,1.0000,0.4000,0.2000
59,1.0000,0.4000,0.1282
6,0.0000,0.2000,0.2500
60,1.0000,1.0000,0.4545
61,1.0000,1.0000,0.8333
62,1.0000,0.8000,0.4444
63,1.0000,1.0000,0.3571
64,1.0000,0.4000,0.4667
65,1.0000,0.2000,0.5000
66,1.0000,0.6000,0.7500
67,1.0000,0.4000,0.2333
68,1.0000,0.2000,0.2500
69,1.0000,0.2000,0.1000
7,0.0000,0.4000,0.2917
70,1.0000,0.4000,0.2500
71,1.0000,0.4000,0.2083
72,1.0000,1.0000,0.2632
73,1.0000,0.6000,0.3750
74,1.0000,0.6000,0.3000
75,0.0000,0.0000,0.0000
76,0.0000,0.2000,0.0370
77,1.0000,0.8000,0.2857
78,0.0000,0.2000,0.0154
79,1.0000,0.8000,0.6333
8,0.0000,0.2000,0.0625
80,0.0000,0.2000,0.0238
81,0.0000,0.0000,0.0000
82,0.0000,0.2000,0.0833
83,0.0000,0.8000,0.1358
84,1.0000,0.4000,0.2857
85,1.0000,0.6000,0.3452
86,1.0000,0.6000,0.3750
87,1.0000,1.0000,0.2381
88,1.0000,0.4000,0.1667
89,1.0000,0.8000,0.6667
9,1.0000,0.8000,0.2857
90,1.0000,0.6000,0.2500
91,1.0000,1.0000,0.2174
92,1.0000,0.2000,0.3333
93,1.0000,0.2000,0.1111
94,1.0000,1.0000,0.2778
95,1.0000,0.6000,1.0000
96,1.0000,0.6000,0.1875
97,1.0000,0.4000,0.6667
98,0.0000,0.2000,0.0400
99,1.0000,0.4000,1.0000
