q-num, recip_rank
1,0.3333
10,0.2000
100,1.0000
11,0.0077
12,0.2000
13,1.0000
14,0.0047
15,0.0769
17,0.5000
18,0.3333
19,0.0033
2,1.0000
20,1.0000
21,1.0000
22,0.0103
23,0.5000
24,0.0149
25,0.5000
26,1.0000
27,1.0000
28,1.0000
29,1.0000
3,0.5000
30,0.0159
31,1.0000
32,1.0000
33,1.0000
34,1.0000
35,1.0000
36,1.0000
37,0.5000
38,1.0000
39,0.3333
4,1.0000
40,0.5000
41,1.0000
42,1.0000
43,0.5000
44,0.0137
45,1.0000
46,1.0000
47,1.0000
48,1.0000
49,1.0000
5,0.2000
50,0.1667
51,1.0000
52,1.0000
53,1.0000
54,1.0000
55,1.0000
56,1.0000
57,0.5000
58,1.0000
59,1.0000
6,1.0000
60,1.0000
61,1.0000
62,1.0000
63,1.0000
64,1.0000
65,1.0000
66,1.0000
67,1.0000
68,1.0000
69,0.5000
7,0.3333
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,0.0909
76,0.3333
77,1.0000
79,1.0000
8,0.2500
81,0.1000
82,0.5000
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
9,1.0000
90,1.0000
91,1.0000
92,1.0000
93,0.2500
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,0.0500
99,1.0000
