q-num, P_1, P_5, map
1,0.0000,0.4000,0.0521
10,0.0000,0.2000,0.0500
100,1.0000,0.2000,0.3333
11,0.0000,0.0000,0.0000
12,0.0000,0.2000,0.0222
13,1.0000,0.2000,0.3333
14,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000
17,0.0000,0.2000,0.1250
18,0.0000,0.2000,0.0667
19,0.0000,0.0000,0.0000
2,1.0000,0.2000,0.1111
20,1.0000,0.6000,0.7500
21,1.0000,0.6000,0.3056
22,0.0000,0.0000,0.0000
23,0.0000,0.6000,0.1359
24,0.0000,0.0000,0.0000
25,0.0000,0.4000,0.0769
26,1.0000,0.4000,0.7500
27,1.0000,0.8000,0.8000
28,1.0000,0.6000,0.4583
29,1.0000,0.6000,0.7500
3,0.0000,0.8000,0.1940
30,0.0000,0.0000,0.0000
31,1.0000,0.4000,0.5556
32,1.0000,1.0000,0.2632
33,1.0000,0.6000,0.6875
34,1.0000,0.8000,0.9500
35,1.0000,0.6000,0.1200
36,1.0000,0.8000,0.2000
37,0.0000,0.4000,0.2917
38,1.0000,0.8000,0.5000
39,0.0000,0.2000,0.1667
4,1.0000,0.8000,0.1532
40,0.0000,0.4000,0.0643
41,1.0000,1.0000,0.3333
42,1.0000,1.0000,0.4545
43,0.0000,0.4000,0.1944
44,0.0000,0.0000,0.0000
45,1.0000,0.8000,0.1315
46,1.0000,1.0000,0.4167
47,1.0000,0.4000,1.0000
48,1.0000,0.2000,0.2500
49,1.0000,0.6000,0.3056
5,0.0000,0.2000,0.0333
50,0.0000,0.0000,0.0000
51,1.0000,0.8000,0.3217
52,1.0000,0.8000,0.3167
53,1.0000,0.8000,0.3800
54,1.0000,0.2000,0.1667
55,1.0000,0.8000,0.6333
56,1.0000,0.6000,0.4833
57,0.0000,0.4000,0.0778
58,1.0000,0.4000,0.2000
59,1.0000,0.6000,0.2115
6,1.0000,0.2000,0.5000
60,1.0000,0.8000,0.3636
61,1.0000,0.2000,0.1667
62,1.0000,0.4000,0.2222
63,1.0000,0.4000,0.1190
64,1.0000,0.2000,0.3333
65,1.0000,0.2000,0.5000
66,1.0000,0.4000,0.3750
67,1.0000,0.6000,0.5000
68,1.0000,0.6000,0.6500
69,0.0000,0.2000,0.0500
7,0.0000,0.2000,0.0833
70,1.0000,0.6000,0.3021
71,1.0000,0.6000,0.3438
72,1.0000,1.0000,0.2632
73,1.0000,0.6000,0.3750
74,1.0000,1.0000,0.5000
75,0.0000,0.0000,0.0000
76,0.0000,0.6000,0.1593
77,1.0000,0.8000,0.2857
79,1.0000,0.8000,0.6667
8,0.0000,0.2000,0.0625
81,0.0000,0.0000,0.0000
82,0.0000,0.2000,0.1250
83,1.0000,0.8000,0.2000
84,1.0000,0.2000,0.1429
85,1.0000,0.8000,0.5071
86,1.0000,1.0000,0.6250
87,1.0000,0.8000,0.1905
88,1.0000,0.4000,0.1667
89,1.0000,0.6000,0.5000
9,1.0000,0.8000,0.2714
90,1.0000,0.4000,0.1818
91,1.0000,0.8000,0.1652
92,1.0000,0.2000,0.3333
93,0.0000,0.4000,0.0722
94,1.0000,1.0000,0.2778
95,1.0000,0.6000,0.9167
96,1.0000,1.0000,0.3125
97,1.0000,0.4000,0.6667
98,0.0000,0.0000,0.0000
99,1.0000,0.4000,1.0000
