q-num, recip_rank
10,0.5000
11,0.0000
12,0.0000
13,0.1667
14,0.0000
15,1.0000
17,0.0000
18,0.0000
19,0.5000
2,1.0000
20,0.0000
21,0.0000
22,0.0000
23,0.1667
24,0.0000
25,1.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
3,0.0000
30,1.0000
31,0.0000
32,0.5000
33,0.0000
34,1.0000
36,0.0000
37,0.0000
38,1.0000
39,1.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
45,0.0000
46,1.0000
47,1.0000
48,1.0000
49,0.0000
5,0.1250
50,1.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,1.0000
56,1.0000
57,0.0000
58,0.0000
59,0.0000
6,0.0000
60,0.2000
61,1.0000
62,0.0000
63,0.0000
64,0.0000
66,0.1250
67,1.0000
68,1.0000
7,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,1.0000
8,0.3333
80,0.0000
81,0.3333
82,0.0000
83,0.0000
84,0.0000
85,0.2500
86,0.0000
87,0.5000
9,0.0000
90,0.3333
91,1.0000
92,0.5000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,0.1667
98,0.0000
99,1.0000
