q-num, P_1, P_5, map
1,0.0000,0.0000,0.0000
10,0.0000,0.6000,0.4792
100,1.0000,0.4000,0.6667
11,0.0000,0.0000,0.0000
12,1.0000,0.2000,0.1111
13,0.0000,0.2000,0.1111
14,0.0000,0.0000,0.0000
15,1.0000,0.6000,0.9167
16,1.0000,0.4000,0.5000
17,0.0000,0.0000,0.0000
18,1.0000,0.4000,0.4000
19,0.0000,0.2000,0.2500
2,1.0000,0.8000,0.4222
20,0.0000,0.2000,0.0625
21,0.0000,0.6000,0.1963
22,0.0000,0.0000,0.0000
23,1.0000,0.8000,0.2923
24,0.0000,0.0000,0.0000
25,1.0000,0.8000,0.2923
26,1.0000,0.4000,0.8333
27,1.0000,0.8000,0.8000
28,1.0000,0.6000,0.4583
29,1.0000,0.4000,0.4167
3,1.0000,0.8000,0.2298
30,1.0000,0.2000,0.1250
31,0.0000,0.0000,0.0000
32,1.0000,0.8000,0.2105
33,0.0000,0.2000,0.0625
34,1.0000,0.8000,0.9500
35,0.0000,0.0000,0.0000
36,0.0000,0.0000,0.0000
37,1.0000,0.4000,0.5000
38,1.0000,1.0000,0.6250
39,1.0000,0.2000,0.5000
4,1.0000,1.0000,0.2381
40,0.0000,0.0000,0.0000
41,1.0000,0.6000,0.1400
42,1.0000,1.0000,0.4545
43,0.0000,0.4000,0.1944
44,0.0000,0.0000,0.0000
45,1.0000,0.2000,0.0370
46,1.0000,1.0000,0.4167
47,1.0000,0.4000,1.0000
48,1.0000,0.2000,0.2500
49,0.0000,0.4000,0.0815
5,0.0000,0.2000,0.0833
50,1.0000,0.6000,0.4833
51,0.0000,0.2000,0.0333
52,1.0000,0.6000,0.1750
53,0.0000,0.2000,0.0250
54,0.0000,0.0000,0.0000
55,1.0000,0.6000,0.5000
56,1.0000,0.8000,0.8000
57,0.0000,0.2000,0.0167
58,0.0000,0.0000,0.0000
59,1.0000,0.4000,0.1538
6,0.0000,0.0000,0.0000
60,1.0000,0.8000,0.3636
61,1.0000,0.6000,0.4028
62,1.0000,0.6000,0.2333
63,0.0000,0.0000,0.0000
64,0.0000,0.2000,0.0667
65,1.0000,0.2000,0.5000
66,1.0000,0.4000,0.5000
67,1.0000,0.6000,0.5000
68,1.0000,0.4000,0.5000
69,0.0000,0.0000,0.0000
7,1.0000,0.2000,0.2500
70,0.0000,0.0000,0.0000
71,1.0000,0.8000,0.5000
72,1.0000,0.8000,0.1868
73,1.0000,0.2000,0.1250
74,1.0000,0.8000,0.4000
75,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000
77,0.0000,0.4000,0.0833
78,0.0000,0.2000,0.0154
79,1.0000,0.8000,0.6667
8,1.0000,0.2000,0.2500
80,1.0000,0.6000,0.2143
81,1.0000,0.2000,0.2000
82,0.0000,0.0000,0.0000
83,1.0000,0.2000,0.0500
84,1.0000,0.6000,0.3929
85,1.0000,0.6000,0.3238
86,1.0000,1.0000,0.6250
87,1.0000,0.4000,0.0952
88,1.0000,0.4000,0.2000
89,1.0000,1.0000,0.8333
9,1.0000,0.6000,0.1857
90,1.0000,0.2000,0.0909
91,1.0000,0.4000,0.0725
92,1.0000,0.2000,0.3333
93,1.0000,0.8000,0.4444
94,1.0000,0.8000,0.1787
95,1.0000,0.6000,1.0000
96,1.0000,0.8000,0.2500
97,1.0000,0.4000,0.6667
98,0.0000,0.2000,0.0667
99,1.0000,0.4000,1.0000
