q-num, P_1, P_5, map
1,0.0000,0.0000,0.0000
10,0.0000,0.2000,0.0500
100,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000
12,1.0000,0.2000,0.1111
13,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000
15,0.0000,0.2000,0.1667
16,0.0000,0.4000,0.2083
17,0.0000,0.0000,0.0000
18,1.0000,0.2000,0.2000
19,0.0000,0.0000,0.0000
2,1.0000,0.4000,0.2222
20,0.0000,0.0000,0.0000
21,0.0000,0.2000,0.0222
22,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000
27,1.0000,0.8000,0.8000
28,0.0000,0.4000,0.1944
29,1.0000,0.2000,0.2500
3,0.0000,0.8000,0.1940
30,0.0000,0.4000,0.1458
31,0.0000,0.0000,0.0000
32,1.0000,0.6000,0.1272
33,1.0000,0.6000,0.6500
34,0.0000,0.8000,0.6792
35,0.0000,0.2000,0.0200
36,0.0000,0.0000,0.0000
37,1.0000,0.2000,0.2500
38,1.0000,0.8000,0.5000
39,0.0000,0.0000,0.0000
4,0.0000,0.8000,0.1294
40,0.0000,0.0000,0.0000
41,1.0000,0.6000,0.1733
42,0.0000,0.0000,0.0000
43,0.0000,0.0000,0.0000
44,0.0000,0.0000,0.0000
45,0.0000,0.0000,0.0000
46,1.0000,1.0000,0.4167
47,1.0000,0.4000,1.0000
48,0.0000,0.2000,0.1250
49,0.0000,0.2000,0.0370
5,0.0000,0.4000,0.1500
50,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000
53,1.0000,0.8000,0.3550
54,0.0000,0.2000,0.0556
55,1.0000,0.8000,0.6333
56,1.0000,0.2000,0.2000
57,1.0000,0.2000,0.0667
58,0.0000,0.2000,0.0200
59,1.0000,0.6000,0.1615
6,0.0000,0.2000,0.2500
60,1.0000,0.6000,0.2197
61,0.0000,0.8000,0.4528
62,0.0000,0.0000,0.0000
63,0.0000,0.0000,0.0000
64,0.0000,0.0000,0.0000
66,1.0000,0.6000,0.5667
67,1.0000,0.4000,0.3333
68,0.0000,0.0000,0.0000
69,0.0000,0.0000,0.0000
7,1.0000,0.2000,0.2500
70,1.0000,0.4000,0.2500
71,1.0000,0.6000,0.3750
72,0.0000,0.0000,0.0000
73,0.0000,0.2000,0.0417
74,0.0000,0.0000,0.0000
75,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000
77,1.0000,0.6000,0.1500
78,0.0000,0.0000,0.0000
79,0.0000,0.4000,0.1944
8,0.0000,0.0000,0.0000
80,0.0000,0.0000,0.0000
81,0.0000,0.0000,0.0000
82,0.0000,0.0000,0.0000
83,0.0000,0.0000,0.0000
84,1.0000,0.2000,0.1429
85,0.0000,0.4000,0.0929
86,0.0000,0.2000,0.0625
87,0.0000,0.2000,0.0119
88,0.0000,0.0000,0.0000
89,1.0000,1.0000,0.8333
9,0.0000,0.0000,0.0000
90,0.0000,0.0000,0.0000
91,1.0000,0.4000,0.0725
92,0.0000,0.2000,0.0833
93,1.0000,1.0000,0.5556
94,1.0000,0.8000,0.2222
95,1.0000,0.6000,1.0000
96,0.0000,0.0000,0.0000
97,0.0000,0.0000,0.0000
98,0.0000,0.2000,0.0400
99,1.0000,0.4000,1.0000
