q-num, P_1, P_5, map
1,0.0000,0.0000,0.0000
10,1.0000,0.4000,0.4167
100,1.0000,0.4000,0.6667
11,0.0000,0.0000,0.0000
12,1.0000,0.4000,0.2222
13,0.0000,0.2000,0.1667
14,0.0000,0.0000,0.0000
15,1.0000,0.4000,0.6667
16,1.0000,0.4000,0.5000
17,0.0000,0.2000,0.0833
18,1.0000,0.2000,0.2000
19,0.0000,0.2000,0.2500
2,1.0000,0.8000,0.4444
20,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000
25,1.0000,0.4000,0.1077
26,0.0000,0.2000,0.1250
27,1.0000,0.6000,0.5200
28,1.0000,0.4000,0.3333
29,0.0000,0.0000,0.0000
3,1.0000,0.2000,0.0714
30,1.0000,0.6000,0.3750
31,0.0000,0.0000,0.0000
32,1.0000,0.8000,0.2105
33,1.0000,0.4000,0.5000
34,1.0000,0.8000,0.9500
35,0.0000,0.0000,0.0000
36,0.0000,0.0000,0.0000
37,0.0000,0.2000,0.0833
38,1.0000,0.8000,0.4750
39,0.0000,0.0000,0.0000
4,1.0000,1.0000,0.2381
40,0.0000,0.0000,0.0000
41,1.0000,0.2000,0.0667
42,1.0000,0.6000,0.2727
43,0.0000,0.6000,0.3194
44,0.0000,0.0000,0.0000
45,1.0000,0.6000,0.1111
46,1.0000,0.6000,0.2167
47,1.0000,0.4000,1.0000
48,1.0000,0.2000,0.2500
49,0.0000,0.4000,0.0926
5,0.0000,0.2000,0.0833
50,1.0000,0.6000,0.4833
51,0.0000,0.2000,0.0500
52,0.0000,0.0000,0.0000
53,1.0000,0.2000,0.1000
54,0.0000,0.0000,0.0000
55,0.0000,0.8000,0.4528
56,1.0000,0.8000,0.7100
57,0.0000,0.0000,0.0000
58,0.0000,0.0000,0.0000
59,1.0000,0.8000,0.3077
6,0.0000,0.0000,0.0000
60,1.0000,1.0000,0.4545
61,0.0000,0.2000,0.0556
62,1.0000,0.4000,0.1667
63,0.0000,0.0000,0.0000
64,0.0000,0.0000,0.0000
65,1.0000,0.2000,0.5000
66,1.0000,0.4000,0.5000
67,1.0000,0.6000,0.5000
68,1.0000,0.4000,0.4167
69,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000
70,0.0000,0.0000,0.0000
71,1.0000,0.6000,0.3750
72,1.0000,1.0000,0.2632
73,0.0000,0.2000,0.0625
74,1.0000,0.8000,0.3800
75,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000
77,0.0000,0.2000,0.0357
78,1.0000,0.2000,0.0769
79,1.0000,0.8000,0.6667
8,1.0000,0.2000,0.2500
80,1.0000,0.6000,0.2143
81,1.0000,0.2000,0.2000
82,0.0000,0.0000,0.0000
83,1.0000,0.4000,0.0700
84,0.0000,0.6000,0.2286
85,0.0000,0.8000,0.3881
86,1.0000,1.0000,0.6250
87,1.0000,0.8000,0.1905
88,1.0000,0.4000,0.1667
89,1.0000,0.8000,0.6667
9,0.0000,0.0000,0.0000
90,0.0000,0.0000,0.0000
91,1.0000,0.8000,0.1399
92,1.0000,0.2000,0.3333
93,1.0000,0.4000,0.1667
94,1.0000,0.6000,0.1259
95,1.0000,0.6000,1.0000
96,1.0000,0.4000,0.1250
97,1.0000,0.4000,0.6667
98,0.0000,0.0000,0.0000
99,1.0000,0.4000,1.0000
