q-num, recip_rank
1,0.2000
10,0.5000
100,1.0000
11,0.0029
12,1.0000
13,0.5000
14,0.0139
15,1.0000
16,1.0000
17,0.2000
18,1.0000
19,0.5000
2,1.0000
20,0.0455
21,0.5000
22,0.0116
23,1.0000
24,0.0833
25,1.0000
26,0.0769
27,1.0000
28,1.0000
29,0.1429
3,1.0000
30,1.0000
31,0.0159
32,1.0000
33,0.1667
34,1.0000
35,0.1667
36,0.0357
37,1.0000
38,1.0000
39,1.0000
4,1.0000
40,0.0032
41,1.0000
42,1.0000
43,0.5000
44,0.0076
45,1.0000
46,1.0000
47,1.0000
48,1.0000
49,0.3333
5,0.5000
50,1.0000
51,0.5000
52,1.0000
53,0.2000
54,0.0294
55,1.0000
56,1.0000
57,0.2000
58,0.0270
59,1.0000
6,0.0667
60,1.0000
61,0.5000
62,1.0000
63,0.0222
64,0.0156
65,1.0000
66,1.0000
67,1.0000
68,1.0000
69,0.1250
7,0.0357
70,0.0227
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,0.0022
76,0.0667
77,1.0000
78,0.5000
79,1.0000
8,1.0000
80,1.0000
81,1.0000
82,0.0091
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
9,0.1250
90,0.5000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,0.2500
99,1.0000
