q-num, recip_rank
1,0.0056
10,0.0026
100,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0047
19,0.0000
2,1.0000
20,0.0011
21,0.0000
22,0.0000
23,0.0024
24,0.0069
25,0.0000
26,0.0000
27,0.0028
28,0.0000
29,0.0000
3,0.0020
30,0.0115
31,0.0048
32,0.5000
33,0.0000
34,0.0000
35,0.2000
36,0.0000
37,0.0000
38,0.0016
39,0.0000
4,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,1.0000
46,0.0125
47,0.0000
48,0.0000
49,0.0040
5,0.0000
50,0.0000
51,0.0000
52,0.0013
53,0.0000
54,0.0000
55,0.0021
56,0.5000
57,0.0000
58,0.0000
59,0.0345
6,0.0000
60,0.3333
61,0.0000
62,0.0312
63,0.0000
64,0.0213
65,0.0000
66,0.0000
67,0.0011
68,0.0000
69,0.0036
7,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0714
74,0.0476
75,0.0000
76,0.0000
77,0.0027
78,0.0000
79,0.0100
8,0.0000
80,0.0036
81,0.0000
82,0.0104
83,1.0000
84,0.0062
85,0.0000
86,0.0000
87,0.0036
88,0.0000
89,0.0000
9,0.0000
90,0.0769
91,0.0019
92,0.2500
93,0.0303
94,0.1667
95,0.0000
96,0.0000
97,0.0667
98,0.0071
99,0.0149
