q-num, P_1, P_5, map
1,0.0000,0.0000,0.0000
10,0.0000,0.2000,0.1250
100,1.0000,0.2000,0.3333
11,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000
15,1.0000,0.6000,0.8667
16,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000
18,0.0000,0.4000,0.1300
19,0.0000,0.2000,0.2500
2,1.0000,0.4000,0.1667
20,0.0000,0.0000,0.0000
21,1.0000,0.6000,0.2685
22,0.0000,0.0000,0.0000
23,0.0000,0.4000,0.0641
24,0.0000,0.0000,0.0000
25,0.0000,0.2000,0.0385
26,1.0000,0.4000,0.7000
27,1.0000,0.8000,0.8000
28,1.0000,0.4000,0.3333
29,1.0000,0.2000,0.2500
3,0.0000,0.2000,0.0357
30,1.0000,0.4000,0.1750
31,0.0000,0.2000,0.0833
32,1.0000,0.2000,0.0526
33,0.0000,0.0000,0.0000
34,1.0000,0.8000,0.9500
35,0.0000,0.2000,0.0200
36,0.0000,0.0000,0.0000
37,0.0000,0.4000,0.1833
38,1.0000,0.2000,0.1250
39,1.0000,0.2000,0.5000
4,1.0000,0.8000,0.1905
40,0.0000,0.0000,0.0000
41,1.0000,0.4000,0.1333
42,1.0000,0.6000,0.2364
43,0.0000,0.4000,0.1667
44,0.0000,0.0000,0.0000
45,1.0000,0.4000,0.0556
46,1.0000,1.0000,0.4167
47,0.0000,0.0000,0.0000
48,1.0000,0.2000,0.2500
49,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000
50,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000
53,0.0000,0.0000,0.0000
54,0.0000,0.0000,0.0000
55,1.0000,0.8000,0.6667
56,1.0000,0.8000,0.7100
57,1.0000,0.2000,0.0667
58,0.0000,0.0000,0.0000
59,1.0000,0.8000,0.2731
6,0.0000,0.0000,0.0000
60,1.0000,0.6000,0.1909
61,1.0000,0.8000,0.6667
62,1.0000,0.2000,0.1111
63,0.0000,0.0000,0.0000
64,0.0000,0.2000,0.1111
65,0.0000,0.0000,0.0000
66,0.0000,0.2000,0.1250
67,1.0000,0.4000,0.3333
68,1.0000,0.4000,0.5000
69,1.0000,0.4000,0.1500
7,0.0000,0.4000,0.2083
70,1.0000,0.4000,0.2500
71,1.0000,0.6000,0.3750
72,1.0000,0.8000,0.2105
73,0.0000,0.0000,0.0000
74,1.0000,0.2000,0.1000
75,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000
77,1.0000,0.2000,0.0714
78,0.0000,0.0000,0.0000
79,1.0000,0.8000,0.6333
8,0.0000,0.0000,0.0000
80,1.0000,0.6000,0.2143
81,0.0000,0.0000,0.0000
82,0.0000,0.0000,0.0000
83,1.0000,0.4000,0.0700
84,1.0000,0.6000,0.3452
85,0.0000,0.6000,0.2738
86,1.0000,1.0000,0.6250
87,0.0000,0.0000,0.0000
88,1.0000,0.4000,0.1400
89,1.0000,0.8000,0.6667
9,1.0000,0.8000,0.2857
90,1.0000,0.4000,0.1818
91,1.0000,0.6000,0.1051
92,1.0000,0.2000,0.3333
93,0.0000,0.6000,0.2130
94,1.0000,0.2000,0.0556
95,1.0000,0.6000,0.9167
96,1.0000,0.4000,0.1250
97,1.0000,0.4000,0.6667
98,0.0000,0.0000,0.0000
99,1.0000,0.4000,1.0000
