q-num, P_1, P_5, map
1,0.0000,0.0000,0.0000
10,0.0000,0.0000,0.0000
100,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000
15,1.0000,0.4000,0.5556
16,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000
18,1.0000,0.2000,0.2000
19,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000
23,0.0000,0.0000,0.0000
24,0.0000,0.0000,0.0000
25,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000
27,0.0000,0.0000,0.0000
28,1.0000,0.2000,0.1667
29,0.0000,0.2000,0.0500
3,0.0000,0.2000,0.0357
30,0.0000,0.2000,0.0250
31,0.0000,0.0000,0.0000
32,0.0000,0.0000,0.0000
33,0.0000,0.0000,0.0000
34,1.0000,0.6000,0.7500
35,0.0000,0.0000,0.0000
36,0.0000,0.4000,0.0614
37,0.0000,0.0000,0.0000
38,0.0000,0.0000,0.0000
39,0.0000,0.0000,0.0000
4,1.0000,0.6000,0.1000
40,0.0000,0.0000,0.0000
41,0.0000,0.0000,0.0000
42,0.0000,0.0000,0.0000
43,0.0000,0.0000,0.0000
44,0.0000,0.0000,0.0000
45,0.0000,0.0000,0.0000
46,0.0000,0.0000,0.0000
47,0.0000,0.0000,0.0000
48,0.0000,0.0000,0.0000
49,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000
50,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000
52,0.0000,0.0000,0.0000
53,0.0000,0.0000,0.0000
54,0.0000,0.0000,0.0000
55,0.0000,0.0000,0.0000
56,1.0000,0.2000,0.2000
57,1.0000,0.2000,0.0667
58,0.0000,0.0000,0.0000
59,0.0000,0.0000,0.0000
6,0.0000,0.2000,0.2500
60,0.0000,0.0000,0.0000
61,0.0000,0.0000,0.0000
62,1.0000,0.2000,0.1111
63,0.0000,0.0000,0.0000
64,0.0000,0.0000,0.0000
66,0.0000,0.0000,0.0000
67,0.0000,0.0000,0.0000
68,0.0000,0.0000,0.0000
69,0.0000,0.0000,0.0000
7,0.0000,0.2000,0.0833
70,1.0000,0.2000,0.1250
71,0.0000,0.0000,0.0000
72,0.0000,0.0000,0.0000
73,0.0000,0.0000,0.0000
74,0.0000,0.0000,0.0000
75,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000
77,0.0000,0.0000,0.0000
78,0.0000,0.0000,0.0000
79,1.0000,0.8000,0.6667
8,0.0000,0.0000,0.0000
80,0.0000,0.0000,0.0000
81,0.0000,0.0000,0.0000
82,0.0000,0.0000,0.0000
83,1.0000,0.4000,0.0700
84,1.0000,0.2000,0.1429
85,0.0000,0.0000,0.0000
86,0.0000,0.2000,0.0625
87,0.0000,0.0000,0.0000
89,1.0000,0.8000,0.6667
9,0.0000,0.4000,0.0595
90,0.0000,0.0000,0.0000
91,1.0000,0.4000,0.0609
92,0.0000,0.2000,0.0833
93,1.0000,1.0000,0.5556
94,0.0000,0.0000,0.0000
95,1.0000,0.6000,0.8056
96,0.0000,0.0000,0.0000
97,0.0000,0.0000,0.0000
98,0.0000,0.0000,0.0000
99,0.0000,0.0000,0.0000
