q-num, recip_rank
1,1.0000
10,0.0189
100,1.0000
11,0.0526
12,0.5000
13,0.1429
14,0.3333
15,1.0000
16,1.0000
17,0.0182
18,0.1250
19,0.0000
2,0.0017
20,0.0043
21,0.1250
22,0.0154
23,0.0312
24,0.0017
25,0.0119
26,0.2500
27,1.0000
28,1.0000
29,0.5000
3,0.3333
30,1.0000
31,0.0014
32,0.0714
33,0.0217
34,1.0000
35,1.0000
36,0.1000
37,1.0000
38,1.0000
39,1.0000
4,0.5000
40,0.0021
41,0.0714
42,0.0256
43,0.1250
44,0.0000
45,0.0833
46,1.0000
47,0.0052
48,0.1000
49,0.0714
5,1.0000
50,0.0019
51,0.0011
52,0.3333
53,0.3333
54,0.0079
55,1.0000
56,1.0000
57,0.0025
58,0.1429
59,1.0000
6,1.0000
60,1.0000
61,0.5000
62,0.3333
63,0.0058
64,1.0000
65,1.0000
66,1.0000
67,1.0000
68,0.0385
69,0.0026
7,0.3333
70,1.0000
71,1.0000
72,0.0021
73,0.0021
74,0.0476
75,0.0263
76,0.1250
77,1.0000
78,0.1250
79,1.0000
8,0.0000
80,1.0000
81,0.3333
82,0.0213
83,1.0000
84,0.1250
85,0.2500
86,1.0000
87,0.0099
88,0.3333
89,1.0000
9,0.5000
90,0.5000
91,1.0000
92,0.0023
93,1.0000
94,1.0000
95,1.0000
96,0.0909
97,1.0000
98,0.0000
99,1.0000
