q-num, P_1, P_5, map
1,0.0000,0.2000,0.0156
10,1.0000,0.6000,0.7500
100,1.0000,0.4000,0.6667
11,0.0000,0.0000,0.0000
12,1.0000,0.6000,0.3333
13,1.0000,0.2000,0.3333
14,0.0000,0.0000,0.0000
15,1.0000,0.6000,1.0000
16,1.0000,0.6000,0.7500
17,0.0000,0.2000,0.1250
18,1.0000,0.4000,0.4000
19,0.0000,0.2000,0.2500
2,1.0000,0.8000,0.3944
20,0.0000,0.2000,0.0833
21,0.0000,0.4000,0.1296
22,0.0000,0.0000,0.0000
23,1.0000,1.0000,0.3846
24,0.0000,0.2000,0.1000
25,1.0000,0.6000,0.2308
26,1.0000,0.4000,0.7500
27,1.0000,0.8000,0.8000
28,1.0000,0.6000,0.4583
29,1.0000,0.4000,0.5000
3,1.0000,1.0000,0.3571
30,1.0000,0.4000,0.2083
31,1.0000,0.2000,0.3333
32,1.0000,0.8000,0.2105
33,0.0000,0.4000,0.2500
34,1.0000,0.8000,0.9500
35,1.0000,0.8000,0.1287
36,0.0000,0.2000,0.0132
37,1.0000,0.6000,0.6875
38,1.0000,1.0000,0.6250
39,1.0000,0.2000,0.5000
4,1.0000,1.0000,0.2381
40,0.0000,0.0000,0.0000
41,1.0000,0.6000,0.1733
42,1.0000,1.0000,0.4545
43,0.0000,0.6000,0.3194
44,0.0000,0.0000,0.0000
45,1.0000,0.4000,0.0741
46,1.0000,0.8000,0.3333
47,1.0000,0.4000,1.0000
48,1.0000,0.4000,0.4167
49,0.0000,0.4000,0.0926
5,0.0000,0.4000,0.1222
50,1.0000,0.6000,0.4833
51,1.0000,0.2000,0.1000
52,1.0000,0.6000,0.2500
53,0.0000,0.2000,0.0500
54,0.0000,0.0000,0.0000
55,1.0000,0.6000,0.5000
56,1.0000,0.8000,0.7600
57,1.0000,0.2000,0.0667
58,0.0000,0.0000,0.0000
59,1.0000,0.8000,0.2731
6,0.0000,0.0000,0.0000
60,1.0000,0.8000,0.3636
61,1.0000,0.8000,0.5917
62,1.0000,0.8000,0.4222
63,1.0000,0.8000,0.2536
64,1.0000,0.2000,0.3333
65,1.0000,0.2000,0.5000
66,1.0000,0.6000,0.6875
67,1.0000,0.6000,0.5000
68,1.0000,0.6000,0.6500
69,1.0000,1.0000,0.5000
7,0.0000,0.6000,0.4792
70,1.0000,0.6000,0.3250
71,1.0000,1.0000,0.6250
72,1.0000,1.0000,0.2632
73,1.0000,0.2000,0.1250
74,1.0000,1.0000,0.5000
75,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000
77,1.0000,0.6000,0.1726
78,0.0000,0.4000,0.0897
79,1.0000,0.8000,0.6667
8,0.0000,0.2000,0.1250
80,1.0000,0.8000,0.2714
81,1.0000,0.2000,0.2000
82,0.0000,0.0000,0.0000
83,1.0000,0.6000,0.1133
84,1.0000,0.4000,0.2857
85,1.0000,0.6000,0.3452
86,1.0000,1.0000,0.6250
87,1.0000,0.4000,0.0794
88,1.0000,0.4000,0.1500
89,1.0000,0.8000,0.6667
9,1.0000,1.0000,0.3571
90,1.0000,0.4000,0.1273
91,1.0000,0.6000,0.1304
92,1.0000,0.2000,0.3333
93,1.0000,0.6000,0.2685
94,1.0000,0.8000,0.1787
95,1.0000,0.6000,1.0000
96,1.0000,0.6000,0.1719
97,1.0000,0.4000,0.6667
98,0.0000,0.2000,0.1000
99,1.0000,0.4000,1.0000
